Y,X
371.3,0
372.53,2
380.28,26
369.77,63
355.75,18
333.69,99
330.53,144
325.94,211
297.65,64
310.88,538
293.8,612
307.28,798
284.28,661
291.19,2042
307.03,2803
307.43,5118
334.82,7600
358.86,10063
359.06,16979
337.29,23990
345.53,19662
334.13,23751
320.51,21915
321.2,28444
320.9,28751
335.41,28222
340.1,29595
338.82,29556
342.97,32829
342.97,28917
347.51,25306
337.64,27051
338.43,28680
353.43,31451
355.85,26889
350,25240
353.45,39460
348.65,15889
340.85,29495
350.95,27631
357,22412
359.8,24385
352.45,27327
352.45,29515
338.55,30326
342.5,22335
336.4,23976
345.55,24252
352.25,28420
348.9,19710
346.85,18621
335.05,21495
331,21030
330.25,27368
350.05,18937
357.5,21551
361.75,20260
359.85,23285
355.3,25294
